サンプル名,Ce,Co,Zn,Ce5Co19,Ce2Co17,Ce1Co5,CeO2_cubic,Ce2O3_trig,Co_cubic,T_a,Coercivity,XRD サンプル名
CeCo_2-7_15_0,16.153850470000002,83.84614953,0.0,0.0564,0.25,0.692,0.0014,0.0,0.0,450,2.2488709257760746,CeCo_2-7_222.xy
CeCo_2-7_20_0,15.83956325,84.16043675,0.0,0.094,0.212,0.687,0.0065,0.0,0.0,450,2.1180298540560067,CeCo_2-7_239.xy
CeCo_2-7_25_0,15.441874890000001,84.55812511,0.0,0.046,0.213,0.736,0.0052,0.0,0.0,450,1.9900478710800333,CeCo_2-7_256.xy
CeCo_2-7_30_0,15.13927537,84.86072462999999,0.0,0.0361,0.284,0.675,0.0044,0.0,0.0,450,1.8826707500698492,CeCo_2-7_273.xy
CeCo_2-7_35_0,13.88417816,86.11582184,0.0,0.074,0.38,0.539,0.0065,0.0,0.0,450,1.655737465011803,CeCo_2-7_290.xy
CeCo_2-7_40_0,13.632064029999999,86.36793597,0.0,0.0437,0.53,0.42,0.0061,0.0,0.0,450,1.191673671599778,CeCo_2-7_307.xy
CeCo_2-7_-40_5,13.65861202,86.34138798,0.0,0.0213,0.662,0.305,0.0113,0.0,0.0,450,0.3104562881779155,CeCo_2-7_36.xy
CeCo_2-7_-35_5,14.800989340000001,85.19901066,0.0,0.051,0.416,0.525,0.0077,0.0,0.0,450,0.9670588382674135,CeCo_2-7_53.xy
CeCo_2-7_-30_5,15.41026167,84.58973833,0.0,0.018,0.238,0.738,0.0047,0.0,0.0,450,1.5871265223842113,CeCo_2-7_70.xy
CeCo_2-7_-25_5,15.8715572,84.1284428,0.0,0.075,0.183,0.738,0.0044,0.0,0.0,450,1.9020518998059632,CeCo_2-7_87.xy
CeCo_2-7_-20_5,16.446354730000003,83.55364527,0.0,0.12,0.174,0.702,0.0038,0.0,0.0,450,2.0022783519289202,CeCo_2-7_104.xy
CeCo_2-7_-15_5,16.98796098,83.01203901999999,0.0,0.191,0.198,0.601,0.0097,0.0,0.0,450,1.923963407447828,CeCo_2-7_121.xy
CeCo_2-7_-10_5,17.23253485,82.76746514999999,0.0,0.197,0.189,0.604,0.0098,0.0,0.0,450,2.052921863631206,CeCo_2-7_138.xy
CeCo_2-7_-5_5,17.38709184,82.61290816,0.0,0.207,0.129,0.651,0.0136,0.0,0.0,450,2.044023622772337,CeCo_2-7_155.xy
CeCo_2-7_0_5,17.708598780000003,82.29140122000001,0.0,0.211,0.131,0.647,0.0105,0.0,0.0,450,2.002788084661589,CeCo_2-7_172.xy
CeCo_2-7_5_5,17.62133128,82.37866872000001,0.0,0.243,0.198,0.551,0.0088,0.0,0.0,450,1.9791227257700288,CeCo_2-7_189.xy
CeCo_2-7_10_5,17.38270373,82.61729627,0.0,0.222,0.133,0.631,0.0136,0.0,0.0,450,2.1071449129264526,CeCo_2-7_206.xy
CeCo_2-7_15_5,17.465320849999998,82.53467915,0.0,0.291,0.17,0.529,0.0096,0.0,0.0,450,1.9642324482358031,CeCo_2-7_223.xy
CeCo_2-7_20_5,17.29076256,82.70923744000001,0.0,0.1828,0.0708,0.7354,0.0111,0.0,0.0,450,2.0315692757430375,CeCo_2-7_240.xy
CeCo_2-7_25_5,16.48467192,83.51532807999999,0.0,0.12,0.146,0.723,0.0109,0.0,0.0,450,2.2923295645433095,CeCo_2-7_257.xy
CeCo_2-7_30_5,15.71872302,84.28127698,0.0,0.079,0.229,0.69,0.0018,0.0,0.0,450,2.1930048298711444,CeCo_2-7_274.xy
CeCo_2-7_35_5,15.165121679999999,84.83487832,0.0,0.074,0.222,0.698,0.0065,0.0,0.0,450,2.120458666521859,CeCo_2-7_291.xy
CeCo_2-7_40_5,13.987788779999999,86.01221122,0.0,0.028,0.31,0.657,0.0045,0.0,0.0,450,1.660128364917345,CeCo_2-7_308.xy
CeCo_2-7_-40_10,14.591301070000002,85.40869893,0.0,0.0142,0.509,0.46,0.0172,0.0,0.0,450,0.5859192345946418,CeCo_2-7_37.xy
CeCo_2-7_-35_10,15.342357940000001,84.65764206,0.0,0.046,0.296,0.65,0.0088,0.0,0.0,450,1.3177719356123518,CeCo_2-7_54.xy
CeCo_2-7_-30_10,16.45770151,83.54229849,0.0,0.111,0.214,0.665,0.0098,0.0,0.0,450,1.8382175845156752,CeCo_2-7_71.xy
CeCo_2-7_-25_10,16.83383687,83.16616313,0.0,0.253,0.239,0.499,0.0086,0.0,0.0,450,2.0416705914389484,CeCo_2-7_88.xy
CeCo_2-7_-20_10,17.40890397,82.59109603,0.0,0.387,0.31,0.294,0.0101,0.0,0.0,450,2.100526409009393,CeCo_2-7_105.xy
CeCo_2-7_-15_10,17.7990628,82.2009372,0.0,0.434,0.302,0.253,0.0107,0.0,0.0,450,1.9760322302312592,CeCo_2-7_122.xy
CeCo_2-7_-10_10,18.31941495,81.68058505,0.0,0.484,0.296,0.209,0.0119,0.0,0.0,450,1.8967820305109675,CeCo_2-7_139.xy
CeCo_2-7_-5_10,18.59815802,81.40184198,0.0,0.491,0.299,0.2,0.0092,0.0,0.0,450,1.6577348567589032,CeCo_2-7_156.xy
CeCo_2-7_0_10,18.570433780000002,81.42956622,0.0,0.512,0.289,0.19,0.0086,0.0,0.0,450,1.4616432957719279,CeCo_2-7_173.xy
CeCo_2-7_5_10,18.59616335,81.40383665,0.0,0.498,0.305,0.187,0.0093,0.0,0.0,450,1.7141842988854257,CeCo_2-7_190.xy
CeCo_2-7_10_10,18.44345525,81.55654475,0.0,0.511,0.291,0.188,0.0098,0.0,0.0,450,1.5655363326231702,CeCo_2-7_207.xy
CeCo_2-7_15_10,18.23170223,81.76829777,0.0,0.495,0.29,0.204,0.0107,0.0,0.0,450,1.6754797925891862,CeCo_2-7_224.xy
